step	Energy 					Momentum
1  1.0037450172412856e+00  1.3268265397840071e+00
2  1.0037450172412854e+00  1.3126320291827946e+00
3  1.0037450172412825e+00  1.3058185588980873e+00
4  1.0037450172412865e+00  1.3018516776029714e+00
5  1.0037450172412834e+00  1.2982671512670825e+00
6  1.0037450172412836e+00  1.2925813497081557e+00
7  1.0037450172412843e+00  1.2906741039565091e+00
8  1.0037450172412850e+00  1.2860934174599725e+00
9  1.0037450172412805e+00  1.2817602706163980e+00
10  1.0037450172412870e+00  1.2807898581648012e+00
11  1.0037450172412818e+00  1.2800799103262757e+00
12  1.0037450172412843e+00  1.2803050301026964e+00
13  1.0037450172412832e+00  1.2765354475007977e+00
14  1.0037450172412858e+00  1.2767991128844378e+00
15  1.0037450172412830e+00  1.2750660539735139e+00
16  1.0037450172412823e+00  1.2707751535032221e+00
17  1.0037450172412850e+00  1.2696283525813097e+00
18  1.0037450172412870e+00  1.2672988462160364e+00
19  1.0037450172412854e+00  1.2670722107255836e+00
20  1.0037450172412847e+00  1.2661002509377890e+00
21  1.0037450172412856e+00  1.2672288392310864e+00
22  1.0037450172412856e+00  1.2689651431656102e+00
23  1.0037450172412890e+00  1.2682401893049295e+00
24  1.0037450172412801e+00  1.2672136986482134e+00
25  1.0037450172412870e+00  1.2665813130421348e+00
26  1.0037450172412850e+00  1.2640095385840808e+00
27  1.0037450172412858e+00  1.2641740901936747e+00
28  1.0037450172412825e+00  1.2666310916841379e+00
29  1.0037450172412850e+00  1.2639464983589925e+00
30  1.0037450172412850e+00  1.2628349711620903e+00
31  1.0037450172412858e+00  1.2620840206509798e+00
32  1.0037450172412836e+00  1.2596613969758319e+00
33  1.0037450172412890e+00  1.2577829592911545e+00
34  1.0037450172412843e+00  1.2604100800021782e+00
35  1.0037450172412850e+00  1.2581952808632797e+00
36  1.0037450172412836e+00  1.2588578099246857e+00
37  1.0037450172412865e+00  1.2608640305174601e+00
38  1.0037450172412858e+00  1.2590211382473115e+00
39  1.0037450172412856e+00  1.2589536583481176e+00
40  1.0037450172412841e+00  1.2572764917857235e+00
41  1.0037450172412825e+00  1.2605256621557712e+00
42  1.0037450172412856e+00  1.2587984634450595e+00
43  1.0037450172412845e+00  1.2604629054388030e+00
44  1.0037450172412841e+00  1.2564753942796529e+00
45  1.0037450172412874e+00  1.2589408510878006e+00
46  1.0037450172412872e+00  1.2619849768676892e+00
47  1.0037450172412878e+00  1.2594650162287080e+00
48  1.0037450172412816e+00  1.2596209147277848e+00
49  1.0037450172412852e+00  1.2597872343110181e+00
50  1.0037450172412843e+00  1.2595130488686468e+00
51  1.0037450172412818e+00  1.2570089497917134e+00
52  1.0037450172412812e+00  1.2578330687208732e+00
53  1.0037450172412887e+00  1.2575986805907318e+00
54  1.0037450172412836e+00  1.2575022803152376e+00
55  1.0037450172412823e+00  1.2575620958898890e+00
56  1.0037450172412843e+00  1.2575432179259283e+00
57  1.0037450172412858e+00  1.2574482397951321e+00
58  1.0037450172412827e+00  1.2594478228597958e+00
59  1.0037450172412812e+00  1.2593587709631324e+00
60  1.0037450172412883e+00  1.2580841373098641e+00
61  1.0037450172412858e+00  1.2580626653842195e+00
62  1.0037450172412850e+00  1.2558403397709350e+00
63  1.0037450172412856e+00  1.2551064866884434e+00
64  1.0037450172412830e+00  1.2556199237612331e+00
65  1.0037450172412850e+00  1.2546236426186639e+00
66  1.0037450172412856e+00  1.2541630266271586e+00
67  1.0037450172412836e+00  1.2530091238387457e+00
68  1.0037450172412836e+00  1.2546093300596954e+00
69  1.0037450172412818e+00  1.2560599321909780e+00
70  1.0037450172412843e+00  1.2562466411653976e+00
71  1.0037450172412852e+00  1.2561237128741407e+00
72  1.0037450172412807e+00  1.2554173095589760e+00
73  1.0037450172412838e+00  1.2571430923730884e+00
74  1.0037450172412870e+00  1.2560526812077633e+00
75  1.0037450172412850e+00  1.2565629029356846e+00
76  1.0037450172412830e+00  1.2594722679473913e+00
77  1.0037450172412823e+00  1.2580394036261686e+00
78  1.0037450172412812e+00  1.2580181804118902e+00
79  1.0037450172412805e+00  1.2602647060725847e+00
80  1.0037450172412867e+00  1.2600290173672459e+00
81  1.0037450172412874e+00  1.2592502591790458e+00
82  1.0037450172412832e+00  1.2605180758798153e+00
83  1.0037450172412850e+00  1.2600628387808703e+00
84  1.0037450172412898e+00  1.2598269282714927e+00
85  1.0037450172412836e+00  1.2603150247620007e+00
86  1.0037450172412850e+00  1.2612070315656396e+00
87  1.0037450172412863e+00  1.2605628797413542e+00
88  1.0037450172412847e+00  1.2614802747027958e+00
89  1.0037450172412836e+00  1.2636599040343988e+00
90  1.0037450172412856e+00  1.2625019886821931e+00
91  1.0037450172412861e+00  1.2602977600525160e+00
92  1.0037450172412838e+00  1.2607721117584239e+00
93  1.0037450172412834e+00  1.2591568681224163e+00
94  1.0037450172412823e+00  1.2580537148467854e+00
95  1.0037450172412876e+00  1.2586680083773634e+00
96  1.0037450172412847e+00  1.2606315085178648e+00
97  1.0037450172412841e+00  1.2584656788569955e+00
98  1.0037450172412865e+00  1.2580695303356477e+00
99  1.0037450172412854e+00  1.2578879986444353e+00
100  1.0037450172412850e+00  1.2592235600037940e+00
101  1.0037450172412818e+00  1.2588831672790270e+00
102  1.0037450172412856e+00  1.2563722600525884e+00
103  1.0037450172412843e+00  1.2566411706511078e+00
104  1.0037450172412838e+00  1.2569940573203338e+00
105  1.0037450172412867e+00  1.2567132074834646e+00
106  1.0037450172412874e+00  1.2572416737492493e+00
107  1.0037450172412874e+00  1.2583247633738730e+00
108  1.0037450172412858e+00  1.2549590858835895e+00
109  1.0037450172412858e+00  1.2572598519121785e+00
110  1.0037450172412872e+00  1.2575521913229479e+00
111  1.0037450172412865e+00  1.2560891219117962e+00
112  1.0037450172412830e+00  1.2571553773408040e+00
